Data,Modalidade,Review,Avaliação,Idioma
2023-01-01,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-01-01,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-01-01,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-02,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-02,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-02,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-03,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-01-03,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-03,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-04,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-01-04,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-04,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-01-05,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-05,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-01-05,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-01-06,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-01-06,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-01-06,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-07,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-07,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-01-07,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-08,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-08,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-08,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-01-09,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-09,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-09,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-01-10,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-10,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-10,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-11,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-11,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-01-11,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-01-12,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-12,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-12,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-13,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-01-13,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-01-13,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-14,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-01-14,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-14,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-15,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-15,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-15,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-16,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-16,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-16,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-01-17,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-01-17,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-17,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-01-18,Cycling,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-18,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-18,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-19,Musculação,"Razoável, esperava um pouco mais.",3,Português
2023-01-19,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-19,Cycling,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-20,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-20,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-01-20,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-21,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-21,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-01-21,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-01-22,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-22,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-01-22,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-23,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-23,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-01-23,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-24,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-24,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-24,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-25,Yoga,"Excelente experiência, super recomendo!",5,Português
2023-01-25,Musculação,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-25,Musculação,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-26,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-26,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-26,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-27,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-27,Cycling,"Excelente experiência, super recomendo!",5,Português
2023-01-27,Yoga,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-28,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-28,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-28,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-01-29,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-01-29,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-01-29,Cycling,"Muito ruim, não recomendo a ninguém.",1,Português
2023-01-30,Yoga,"Razoável, esperava um pouco mais.",3,Português
2023-01-30,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-01-30,Cycling,"Razoável, esperava um pouco mais.",3,Português
2023-01-31,Musculação,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
2023-01-31,Musculação,"Excelente experiência, super recomendo!",5,Português
2023-01-31,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-02-01,Yoga,"Decepcionante, vários pontos a serem melhorados.",2,Português
2023-02-01,Yoga,"Muito bom, mas pode melhorar em alguns aspectos.",4,Português
